         173281 function calls (164229 primitive calls) in 27.336 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\path_registry.py:538(__init__)
      128    0.001    0.000    0.001    0.000 {built-in method _heapq.heappop}
      537    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\AppData\Local\Programs\Python\Python310\lib\mimetypes.py:86(add_type)
      135    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\eventlet\hubs\hub.py:439(schedule_call_global)
    53/52    0.001    0.000    0.043    0.001 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\session.py:2078(_execute_internal)
      132    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\event\registry.py:120(_stored_in_collection)
    62/59    0.001    0.000   13.967    0.237 C:\Users\Utilisateur\AppData\Local\Programs\Python\Python310\lib\selectors.py:314(_select)
     25/5    0.001    0.000    0.020    0.004 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\jinja2\parser.py:981(subparse)
      230    0.001    0.000    0.010    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\type_api.py:186(operate)
      230    0.001    0.000    0.005    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\elements.py:2831(_construct_for_op)
      460    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\elements.py:1438(self_group)
      124    0.001    0.000    0.003    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\relationships.py:3232(<setcomp>)
       74    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\eventlet\green\select.py:11(get_fileno)
       51    0.001    0.000    0.002    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\query.py:553(_statement_20)
      129    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\elements.py:5214(__init__)
  240/181    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\eventlet\semaphore.py:65(acquire)
      818    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\jinja2\lexer.py:275(test)
     1983    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
  552/229    0.001    0.000    0.012    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\operators.py:575(__eq__)
        4    0.001    0.000    0.001    0.000 {method 'send' of '_socket.socket' objects}
       53    0.001    0.000    0.034    0.001 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\engine\base.py:1594(_execute_clauseelement)
        2    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\click\_winconsole.py:161(write)
       70    0.001    0.000    0.015    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\engine\base.py:1854(_exec_single_context)
     2379    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      138    0.001    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\annotation.py:286(__init__)
      132    0.001    0.000    0.003    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\event\registry.py:333(base_listen)
     2958    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
3291/3176    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     2272    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
       52    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\context.py:463(orm_pre_session_exec)
      446    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\visitors.py:516(run_generated_dispatch)
       70    0.000    0.000    0.018    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\engine\base.py:1795(_execute_context)
      541    0.000    0.000    0.013    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\jinja2\lexer.py:378(__next__)
      702    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\visitors.py:484(<genexpr>)
      762    0.000    0.000    0.008    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\event\base.py:453(__get__)
      690    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\AppData\Local\Programs\Python\Python310\lib\weakref.py:415(__getitem__)
      216    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\elements.py:405(_clone)
      229    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\werkzeug\local.py:504(_get_current_object)
      126    0.000    0.000    0.009    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\orm\interfaces.py:1026(_get_strategy)
      869    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\AppData\Local\Programs\Python\Python310\lib\weakref.py:455(__contains__)
       69    0.000    0.000    0.003    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\engine\default.py:1801(_setup_result_proxy)
      102    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\elements.py:2135(_gen_cache_key)
   210/30    0.000    0.000    0.004    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\util.py:302(visit)
      135    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\eventlet\hubs\hub.py:403(add_timer)
      122    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\engine\cursor.py:1529(_soft_close)
   156/52    0.000    0.000    0.002    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\sqlalchemy\sql\annotation.py:499(clone)
        9    0.000    0.000    0.001    0.000 C:\Users\Utilisateur\PycharmProjects\GestionFile\venv\lib\site-packages\werkzeug\serving.py:159(make_environ)
